iter	Passed	Remaining
0	134	107300
1	136	54453
2	138	36904
3	141	28099
4	143	22790
5	145	19220
6	147	16671
7	149	14820
8	152	13366
9	154	12202
10	156	11248
11	158	10423
12	160	9724
13	162	9110
14	164	8598
15	166	8144
16	168	7747
17	170	7399
18	172	7079
19	173	6776
20	175	6512
21	177	6275
22	179	6063
23	181	5863
24	183	5678
25	185	5511
26	187	5359
27	189	5215
28	191	5080
29	192	4951
30	194	4835
31	196	4725
32	198	4620
33	200	4524
34	202	4433
35	204	4343
36	206	4263
37	208	4186
38	210	4111
39	212	4037
40	214	3967
41	216	3915
42	219	3857
43	221	3798
44	222	3740
45	224	3684
46	226	3631
47	228	3579
48	230	3533
49	232	3486
50	234	3443
51	236	3400
52	238	3359
53	240	3318
54	242	3279
55	243	3239
56	245	3203
57	247	3169
58	249	3134
59	251	3101
60	252	3062
61	254	3030
62	256	2998
63	257	2962
64	259	2936
65	262	2919
66	264	2895
67	266	2870
68	268	2845
69	269	2813
70	271	2788
71	273	2765
72	275	2739
73	277	2718
74	278	2695
75	280	2674
76	282	2653
77	284	2633
78	286	2613
79	288	2594
80	290	2575
81	291	2555
82	294	2539
83	295	2521
84	297	2504
85	299	2484
86	301	2467
87	302	2450
88	304	2434
89	306	2415
90	308	2401
91	310	2391
92	312	2379
93	315	2366
94	317	2355
95	319	2342
96	321	2328
97	322	2311
98	324	2299
99	327	2292
100	329	2281
101	331	2266
102	333	2255
103	335	2246
104	337	2236
105	339	2224
106	342	2215
107	343	2201
108	345	2191
109	347	2181
110	349	2171
111	351	2161
112	354	2154
113	356	2143
114	358	2136
115	360	2127
116	363	2122
117	365	2113
118	367	2104
119	369	2094
120	371	2085
121	374	2081
122	376	2072
123	378	2061
124	380	2052
125	382	2043
126	384	2036
127	386	2028
128	388	2021
129	391	2017
130	393	2010
131	395	2002
132	397	1994
133	399	1985
134	401	1976
135	403	1968
136	405	1963
137	407	1955
138	409	1947
139	411	1937
140	412	1928
141	414	1919
142	415	1910
143	417	1899
144	418	1889
145	420	1883
146	422	1878
147	424	1869
148	425	1861
149	427	1853
150	429	1844
151	430	1835
152	432	1827
153	433	1817
154	434	1808
155	436	1802
156	438	1794
157	439	1785
158	440	1775
159	441	1766
160	442	1757
161	443	1748
162	445	1739
163	446	1732
164	448	1724
165	449	1717
166	451	1712
167	453	1706
168	455	1698
169	456	1690
170	457	1682
171	458	1674
172	459	1666
173	461	1658
174	462	1650
175	463	1642
176	464	1634
177	465	1627
178	467	1621
179	469	1617
180	470	1609
181	472	1603
182	473	1596
183	474	1589
184	476	1582
185	477	1575
186	478	1569
187	479	1562
188	481	1555
189	483	1551
190	485	1546
191	486	1540
192	487	1533
193	489	1527
194	490	1521
195	491	1515
196	493	1510
197	494	1504
198	496	1498
199	498	1494
200	500	1491
201	501	1485
202	503	1480
203	504	1475
204	506	1469
205	508	1466
206	509	1460
207	511	1455
208	512	1450
209	515	1448
210	517	1443
211	519	1439
212	520	1434
213	522	1429
214	523	1425
215	525	1419
216	526	1414
217	528	1409
218	530	1406
219	532	1403
220	534	1399
221	535	1394
222	537	1389
223	538	1385
224	540	1380
225	541	1375
226	543	1371
227	545	1367
228	547	1364
229	548	1359
230	550	1355
231	551	1351
232	553	1346
233	554	1342
234	556	1337
235	557	1333
236	559	1329
237	561	1326
238	563	1322
239	564	1317
240	566	1313
241	567	1309
242	569	1305
243	571	1301
244	572	1296
245	573	1292
246	575	1288
247	577	1286
248	579	1282
249	581	1278
